('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294674 function calls (294475 primitive calls) in 3.938 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
       10    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        6    0.000    0.000    0.001    0.000 message.py:620(get_content_maintype)
        2    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
       51    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       49    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        2    0.000    0.000    0.001    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f9902fdae80}
        2    0.000    0.000    0.027    0.014 __init__.py:71(search_function)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:864(resolve_proxies)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 socket.py:506(detach)
        2    0.000    0.000    0.000    0.000 response.py:450(_init_decoder)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:940(pop)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.003    0.003 sessions.py:457(prepare_request)
        2    0.000    0.000    0.000    0.000 feedparser.py:69(close)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
        2    0.000    0.000    0.030    0.015 <frozen importlib._bootstrap>:1349(_find_and_load)
        3    0.000    0.000    0.000    0.000 idna.py:155(encode)
        1    0.000    0.000    0.000    0.000 models.py:382(copy)
        4    0.000    0.000    0.000    0.000 message.py:150(__init__)
        1    0.000    0.000    3.674    3.674 api.py:14(request)
        2    0.000    0.000    0.000    0.000 response.py:252(put)
        1    0.000    0.000    3.673    3.673 sessions.py:500(request)
        2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    3.674    3.674 api.py:62(get)
        1    0.000    0.000    0.000    0.000 __init__.py:595(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:514(_parse_content_type_header)
        4    0.000    0.000    0.000    0.000 utils.py:838(select_proxy)
        2    0.000    0.000    0.000    0.000 response.py:9(is_fp_closed)
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
       25    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
       65    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 _parser.py:969(parse)
        2    0.000    0.000    0.000    0.000 cookies.py:140(get_cookie_header)
        1    0.000    0.000    0.000    0.000 ssl.py:678(verify_mode)
       24    0.000    0.000    0.000    0.000 threading.py:394(notify)
        2    0.000    0.000    0.000    0.000 typing.py:392(inner)
      6/2    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 ssl.py:441(_encode_hostname)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
       10    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 feedparser.py:121(pushlines)
        3    0.000    0.000    0.000    0.000 models.py:769(is_redirect)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.001    0.000 adapters.py:446(get_connection_with_tls_context)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:94(__new__)
        2    0.000    0.000    0.000    0.000 connection.py:335(putrequest)
       38    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    0.000    0.000 response.py:143(flush)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 client.py:425(_close_conn)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1297(_cookie_attrs)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
        1    0.000    0.000    0.009    0.009 financial.py:25(parse_financial_data)
        2    0.000    0.000    0.000    0.000 parse.py:931(quote_from_bytes)
       35    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        7    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
        3    0.000    0.000    0.000    0.000 utils.py:774(get_proxy)
        6    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
        2    0.000    0.000    0.000    0.000 poolmanager.py:330(connection_from_pool_key)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 parser.py:256(parse_html_declaration)
        2    0.000    0.000    0.000    0.000 adapters.py:90(_urllib3_request_context)
        2    0.000    0.000    0.000    0.000 socket.py:681(__init__)
       27    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.000    0.000 cookies.py:428(copy)
       25    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        3    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
        7    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
    44/14    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 response.py:118(__init__)
        1    0.000    0.000    0.248    0.248 parser.py:104(feed)
        1    0.000    0.000    0.000    0.000 connection.py:320(close)
        5    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        2    0.000    0.000    0.000    0.000 parse.py:509(urlunparse)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        2    0.000    0.000    0.000    0.000 client.py:1027(send)
        1    0.000    0.000    0.000    0.000 response.py:499(_flush_decoder)
        2    0.000    0.000    0.029    0.015 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       23    0.000    0.000    0.000    0.000 util.py:19(to_str)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1734(clear_expired_cookies)
        2    0.000    0.000    0.000    0.000 parse.py:855(quote)
        2    0.000    0.000    0.000    0.000 client.py:396(_check_close)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
       51    0.000    0.000    0.000    0.000 enum.py:1292(value)
        1    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
        2    0.000    0.000    0.000    0.000 adapters.py:536(close)
        2    0.000    0.000    0.000    0.000 poolmanager.py:276(connection_from_host)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        8    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        2    0.000    0.000    0.000    0.000 request.py:191(body_to_chunks)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 sessions.py:794(close)
        2    0.000    0.000    0.000    0.000 retry.py:387(is_retry)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:298(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:636(unquote_unreserved)
       24    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        3    0.000    0.000    0.000    0.000 structures.py:76(copy)
